Date,Close/Last,Volume,Open,High,Low
10/07/2021,433.09,N/A,428.6,441.59,429.15
10/06/2021,430.4,N/A,436.48,434.99,424.11
10/05/2021,437.11,N/A,428.69,442.79,434.4
10/04/2021,427.71,N/A,413.98,429.5,424.21
10/03/2021,414.4,N/A,429.72,430.87,413.1
10/02/2021,427.38,N/A,414.97,432.87,422.34
10/01/2021,417.12,N/A,385.32,423.09,415.71
09/30/2021,383.99,N/A,380,391.49,381.79
09/29/2021,379.11,N/A,340.1,379.6,366.49
09/28/2021,339.42,N/A,339.79,339.61,331.57
09/27/2021,351.09,N/A,338.31,357.5,340.8
09/26/2021,351.03,N/A,341.3,357.5,340.8
09/25/2021,341.49,N/A,357.33,350.49,337.5
09/24/2021,356.7,N/A,374.9,358.57,351.21
09/23/2021,376.01,N/A,379.68,384.99,375.31
09/22/2021,379.21,N/A,353.3,379.85,371.81
09/21/2021,354.47,N/A,363.61,356.28,342.42
09/20/2021,364.04,N/A,391.6,367.17,345.04
09/19/2021,391.41,N/A,408.22,409.6,387.72
09/18/2021,409.58,N/A,412.58,410.88,406.31
09/17/2021,407.4,N/A,425.48,407.69,401.63
09/16/2021,420.7,N/A,424.59,425.79,418.6
09/15/2021,424.02,N/A,413.1,432.9,422.02
09/14/2021,413.3,N/A,400.8,415.1,410.1
09/13/2021,401.4,N/A,397.97,402.58,396.11
09/12/2021,401.81,N/A,405.98,419.39,400.12
09/11/2021,405.38,N/A,402.49,405.99,398
09/10/2021,401,N/A,432.39,408.89,399.52
09/09/2021,432.39,N/A,409.02,438.89,419.73
09/08/2021,407.42,N/A,413.01,418.09,404.11
09/07/2021,414.99,N/A,495.42,425.48,411.31
09/06/2021,496.11,N/A,498.78,504.58,494.61
09/05/2021,495.79,N/A,491.09,500.3,488.91
09/04/2021,491.51,N/A,489.41,500.3,491.31
09/03/2021,489.61,N/A,486.9,492.79,485.62
09/02/2021,486.1,N/A,493.79,486.98,473.55
09/01/2021,493.7,N/A,463.39,504.56,486.23
08/31/2021,462.8,N/A,461.5,465.68,455.51
08/30/2021,461.4,N/A,473.12,462.68,452.5
08/29/2021,473.49,N/A,481.73,480.69,471.82
08/28/2021,482.7,N/A,487.62,495.47,480.54
08/27/2021,488.1,N/A,474.19,496.78,486.41
08/26/2021,480.29,N/A,473.11,518.58,475.61
08/25/2021,493.18,N/A,477.11,518.58,491.75
08/24/2021,477.43,N/A,495.04,484.24,471.95
08/23/2021,495.25,N/A,462.8,504.05,491.66
08/22/2021,457.29,N/A,448.46,457.57,447.02
08/21/2021,448.2,N/A,454.93,454.2,447.53
08/20/2021,454.04,N/A,430.45,454.89,445.4
08/19/2021,430.49,N/A,393.36,436.12,427.54
08/18/2021,394.52,N/A,396.63,405.29,392.48
08/17/2021,394.05,N/A,426.31,406.63,386.69
08/16/2021,426.92,N/A,411.06,429.3,409.14
08/15/2021,412.51,N/A,404.8,418.39,412.3
08/14/2021,406.89,N/A,407.21,410.93,404.89
08/13/2021,407.6,N/A,393.09,410.89,405.23
08/12/2021,393.09,N/A,399.61,394.58,383
08/11/2021,401.57,N/A,379.07,406.08,389.24
08/10/2021,378.78,N/A,350.93,382.32,371.12
08/09/2021,350.59,N/A,339.21,355.94,350.18
08/08/2021,339.4,N/A,353.85,343.61,333.53
08/07/2021,353.66,N/A,350.26,358.21,348.35
08/06/2021,350.06,N/A,333.66,350.06,340.65
08/05/2021,333.51,N/A,334.41,339.35,333.51
08/04/2021,334.29,N/A,321.16,336.5,331.32
08/03/2021,321.84,N/A,326.29,325.32,320.74
08/02/2021,325.79,N/A,329.9,334.61,325.32
08/01/2021,329.83,N/A,346.68,334.45,326.39
07/31/2021,345.34,N/A,322.6,345.44,330.79
07/30/2021,323.29,N/A,321.74,324.35,320.58
07/29/2021,322.17,N/A,310.35,325.26,315.13
07/28/2021,311.3,N/A,311.54,314.19,309.08
07/27/2021,311.87,N/A,301.41,316.21,308.7
07/26/2021,302.54,N/A,322.44,307.62,298.53
07/25/2021,320.95,N/A,303.15,327.62,302.24
07/24/2021,299.52,N/A,299.49,299.52,296.15
07/23/2021,299.37,N/A,295.22,299.95,296.16
07/22/2021,294.87,N/A,290.61,297.16,292.06
07/21/2021,290.84,N/A,269.89,296.94,287.55
07/20/2021,269.49,N/A,259.82,270.68,261.51
07/19/2021,260.31,N/A,299.33,283.25,259.5
07/18/2021,299.64,N/A,305.82,303.49,297.53
07/17/2021,305.28,N/A,297.38,309,300.04
07/16/2021,297.67,N/A,320.58,306.41,295.11
07/15/2021,320.2,N/A,306.44,323.21,311.9
07/14/2021,306.68,N/A,294.58,314.29,306.01
07/13/2021,293.17,N/A,315.92,309.2,292.6
07/12/2021,316.25,N/A,328.76,318.16,314.02
07/11/2021,329.22,N/A,313.59,329.7,320.57
07/10/2021,314.24,N/A,315.31,318.22,314.06
07/09/2021,315.42,N/A,308.59,321.2,314.53
07/08/2021,308.58,N/A,322.23,310.52,302.28
07/07/2021,322.28,N/A,328.54,328.17,317.43
07/06/2021,329.17,N/A,305.29,329.19,318.33
07/05/2021,305.13,N/A,300.44,306.88,301.95
07/04/2021,298.8,N/A,299.25,307.86,297.84
07/03/2021,299.75,N/A,283.18,302.93,283.06
07/02/2021,283.77,N/A,278.08,287.92,283.06
07/01/2021,278.92,N/A,291.67,290.58,278.81
06/30/2021,292.19,N/A,293.36,303.41,291.77
06/29/2021,294.97,N/A,294.17,302.84,294.48
06/28/2021,294.34,N/A,285.02,298,289.27
06/27/2021,285.7,N/A,285.49,291.73,284.57
06/26/2021,285.58,N/A,283.27,286.72,278.01
06/25/2021,283.18,N/A,308.6,286.54,278.81
06/24/2021,308.45,N/A,284.01,314.08,303.64
06/23/2021,281.96,N/A,286.82,299,281.74
06/22/2021,285.51,N/A,287.65,291.54,251.9
06/21/2021,289.14,N/A,328.57,290.65,260.89
06/20/2021,329.04,N/A,334.03,341.52,329.03
06/19/2021,334.4,N/A,332.9,335.8,331.29
06/18/2021,332.14,N/A,353.2,341.01,332.12
06/17/2021,354.15,N/A,356.86,354.57,346.46
